Altium Designer Pick and Place Locations
C:\Users\Ryan\Google Drive (rvtran@ucsd.edu)\Triton AI\fuse-board\Fuse Board V2.1\Project Outputs for Fuse_Board_V2-1\Pick Place for Fuse_Board_Panel_V2-1.csv

========================================================================================================================
File Design Information:

Date:       13/02/22
Time:       14:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C8","TopLayer","128.1900","35.5120","270"
"C7","TopLayer","115.4900","35.5120","270"
"C6","TopLayer","102.7900","35.5120","270"
"C5","TopLayer","90.0900","35.5120","270"
"C4","TopLayer","77.3900","35.5120","270"
"C3","TopLayer","64.6900","35.5120","270"
"C2","TopLayer","51.9900","35.5120","270"
"C1","TopLayer","39.2900","35.5120","270"
"U10","TopLayer","133.2700","55.8320","90"
"U9","TopLayer","120.5700","55.8320","90"
"U8","TopLayer","107.8700","55.8320","90"
"U7","TopLayer","95.1700","55.8320","90"
"U6","TopLayer","82.4700","55.8320","90"
"U5","TopLayer","69.7700","55.8320","90"
"U4","TopLayer","57.0700","55.8320","90"
"U3","TopLayer","44.3700","55.8320","90"
"U2","TopLayer","31.6700","55.8320","90"
"U1","TopLayer","21.5100","55.8320","90"
"D2","TopLayer","31.6700","60.9120","90"
"D1","TopLayer","21.5100","60.9120","90"
"XF1","TopLayer","26.5900","52.0220","90"
"J4","TopLayer","64.6900","20.0180","90"
"D4","TopLayer","57.0700","60.9120","90"
"J8","TopLayer","115.4900","20.0180","90"
"J6","TopLayer","90.0900","20.0180","90"
"J1","TopLayer","25.3200","22.8120","90"
"J2","TopLayer","39.2900","20.0180","90"
"XF9","TopLayer","128.1900","52.0220","270"
"XF8","TopLayer","115.4900","52.0220","270"
"XF7","TopLayer","102.7900","52.0220","270"
"XF6","TopLayer","90.0900","52.0220","270"
"XF5","TopLayer","77.3900","52.0220","270"
"XF4","TopLayer","64.6900","52.0220","270"
"XF3","TopLayer","51.9900","52.0220","270"
"XF2","TopLayer","39.2900","52.0220","270"
"J9","TopLayer","128.1900","20.0180","90"
"J7","TopLayer","102.7900","20.0180","90"
"J5","TopLayer","77.3900","20.0180","90"
"J3","TopLayer","51.9900","20.0180","90"
"D10","TopLayer","133.2700","60.9120","90"
"D9","TopLayer","120.5700","60.9120","90"
"D8","TopLayer","107.8700","60.9120","90"
"D7","TopLayer","95.1700","60.9120","90"
"D6","TopLayer","82.4700","60.9120","90"
"D5","TopLayer","69.7700","60.9120","90"
"D3","TopLayer","44.3700","60.9120","90"
"C8","TopLayer","128.1900","93.9320","270"
"C7","TopLayer","115.4900","93.9320","270"
"C6","TopLayer","102.7900","93.9320","270"
"C5","TopLayer","90.0900","93.9320","270"
"C4","TopLayer","77.3900","93.9320","270"
"C3","TopLayer","64.6900","93.9320","270"
"C2","TopLayer","51.9900","93.9320","270"
"C1","TopLayer","39.2900","93.9320","270"
"U10","TopLayer","133.2700","114.2520","90"
"U9","TopLayer","120.5700","114.2520","90"
"U8","TopLayer","107.8700","114.2520","90"
"U7","TopLayer","95.1700","114.2520","90"
"U6","TopLayer","82.4700","114.2520","90"
"U5","TopLayer","69.7700","114.2520","90"
"U4","TopLayer","57.0700","114.2520","90"
