Designator,Layer,Center-X(mm),Center-Y(mm),Rotation
C8,TopLayer,128.19,35.512,270
C7,TopLayer,115.49,35.512,270
C6,TopLayer,102.79,35.512,270
C5,TopLayer,90.09,35.512,270
C4,TopLayer,77.39,35.512,270
C3,TopLayer,64.69,35.512,270
C2,TopLayer,51.99,35.512,270
C1,TopLayer,39.29,35.512,270
U10,TopLayer,133.27,55.832,90
U9,TopLayer,120.57,55.832,90
U8,TopLayer,107.87,55.832,90
U7,TopLayer,95.17,55.832,90
U6,TopLayer,82.47,55.832,90
U5,TopLayer,69.77,55.832,90
U4,TopLayer,57.07,55.832,90
U3,TopLayer,44.37,55.832,90
U2,TopLayer,31.67,55.832,90
U1,TopLayer,21.51,55.832,90
D2,TopLayer,31.67,60.912,90
D1,TopLayer,21.51,60.912,90
XF1,TopLayer,26.59,52.022,90
J4,TopLayer,64.69,20.272,90
D4,TopLayer,57.07,60.912,90
J8,TopLayer,115.49,20.272,90
J6,TopLayer,90.09,20.272,90
J1,TopLayer,25.32,22.812,90
J2,TopLayer,39.29,20.272,90
XF9,TopLayer,128.19,52.022,270
XF8,TopLayer,115.49,52.022,270
XF7,TopLayer,102.79,52.022,270
XF6,TopLayer,90.09,52.022,270
XF5,TopLayer,77.39,52.022,270
XF4,TopLayer,64.69,52.022,270
XF3,TopLayer,51.99,52.022,270
XF2,TopLayer,39.29,52.022,270
J9,TopLayer,128.19,20.272,90
J7,TopLayer,102.79,20.272,90
J5,TopLayer,77.39,20.272,90
J3,TopLayer,51.99,20.272,90
D10,TopLayer,133.27,60.912,90
D9,TopLayer,120.57,60.912,90
D8,TopLayer,107.87,60.912,90
D7,TopLayer,95.17,60.912,90
D6,TopLayer,82.47,60.912,90
D5,TopLayer,69.77,60.912,90
D3,TopLayer,44.37,60.912,90
C8,TopLayer,128.19,93.932,270
C7,TopLayer,115.49,93.932,270
C6,TopLayer,102.79,93.932,270
C5,TopLayer,90.09,93.932,270
C4,TopLayer,77.39,93.932,270
C3,TopLayer,64.69,93.932,270
C2,TopLayer,51.99,93.932,270
C1,TopLayer,39.29,93.932,270
U10,TopLayer,133.27,114.252,90
U9,TopLayer,120.57,114.252,90
U8,TopLayer,107.87,114.252,90
U7,TopLayer,95.17,114.252,90
U6,TopLayer,82.47,114.252,90
U5,TopLayer,69.77,114.252,90
U4,TopLayer,57.07,114.252,90
U3,TopLayer,44.37,114.252,90
U2,TopLayer,31.67,114.252,90
U1,TopLayer,21.51,114.252,90
D2,TopLayer,31.67,119.332,90
D1,TopLayer,21.51,119.332,90
XF1,TopLayer,26.59,110.442,90
J4,TopLayer,64.69,78.692,90
D4,TopLayer,57.07,119.332,90
J8,TopLayer,115.49,78.692,90
J6,TopLayer,90.09,78.692,90
J1,TopLayer,25.32,81.232,90
J2,TopLayer,39.29,78.692,90
XF9,TopLayer,128.19,110.442,270
XF8,TopLayer,115.49,110.442,270
XF7,TopLayer,102.79,110.442,270
XF6,TopLayer,90.09,110.442,270
XF5,TopLayer,77.39,110.442,270
XF4,TopLayer,64.69,110.442,270
XF3,TopLayer,51.99,110.442,270
XF2,TopLayer,39.29,110.442,270
J9,TopLayer,128.19,78.692,90
J7,TopLayer,102.79,78.692,90
J5,TopLayer,77.39,78.692,90
J3,TopLayer,51.99,78.692,90
D10,TopLayer,133.27,119.332,90
D9,TopLayer,120.57,119.332,90
D8,TopLayer,107.87,119.332,90
D7,TopLayer,95.17,119.332,90
D6,TopLayer,82.47,119.332,90
D5,TopLayer,69.77,119.332,90
D3,TopLayer,44.37,119.332,90
C8,TopLayer,128.19,152.352,270
C7,TopLayer,115.49,152.352,270
C6,TopLayer,102.79,152.352,270
C5,TopLayer,90.09,152.352,270
C4,TopLayer,77.39,152.352,270
C3,TopLayer,64.69,152.352,270
C2,TopLayer,51.99,152.352,270
C1,TopLayer,39.29,152.352,270
U10,TopLayer,133.27,172.672,90
U9,TopLayer,120.57,172.672,90
U8,TopLayer,107.87,172.672,90
U7,TopLayer,95.17,172.672,90
U6,TopLayer,82.47,172.672,90
U5,TopLayer,69.77,172.672,90
U4,TopLayer,57.07,172.672,90
U3,TopLayer,44.37,172.672,90
U2,TopLayer,31.67,172.672,90
U1,TopLayer,21.51,172.672,90
D2,TopLayer,31.67,177.752,90
D1,TopLayer,21.51,177.752,90
XF1,TopLayer,26.59,168.862,90
J4,TopLayer,64.69,137.112,90
D4,TopLayer,57.07,177.752,90
J8,TopLayer,115.49,137.112,90
J6,TopLayer,90.09,137.112,90
J1,TopLayer,25.32,139.652,90
J2,TopLayer,39.29,137.112,90
XF9,TopLayer,128.19,168.862,270
XF8,TopLayer,115.49,168.862,270
XF7,TopLayer,102.79,168.862,270
XF6,TopLayer,90.09,168.862,270
XF5,TopLayer,77.39,168.862,270
XF4,TopLayer,64.69,168.862,270
XF3,TopLayer,51.99,168.862,270
XF2,TopLayer,39.29,168.862,270
J9,TopLayer,128.19,137.112,90
J7,TopLayer,102.79,137.112,90
J5,TopLayer,77.39,137.112,90
J3,TopLayer,51.99,137.112,90
D10,TopLayer,133.27,177.752,90
D9,TopLayer,120.57,177.752,90
D8,TopLayer,107.87,177.752,90
D7,TopLayer,95.17,177.752,90
D6,TopLayer,82.47,177.752,90
D5,TopLayer,69.77,177.752,90
D3,TopLayer,44.37,177.752,90
C8,TopLayer,128.19,210.772,270
C7,TopLayer,115.49,210.772,270
C6,TopLayer,102.79,210.772,270
C5,TopLayer,90.09,210.772,270
C4,TopLayer,77.39,210.772,270
C3,TopLayer,64.69,210.772,270
C2,TopLayer,51.99,210.772,270
C1,TopLayer,39.29,210.772,270
U10,TopLayer,133.27,231.092,90
U9,TopLayer,120.57,231.092,90
U8,TopLayer,107.87,231.092,90
U7,TopLayer,95.17,231.092,90
U6,TopLayer,82.47,231.092,90
U5,TopLayer,69.77,231.092,90
U4,TopLayer,57.07,231.092,90
U3,TopLayer,44.37,231.092,90
U2,TopLayer,31.67,231.092,90
U1,TopLayer,21.51,231.092,90
D2,TopLayer,31.67,236.172,90
D1,TopLayer,21.51,236.172,90
XF1,TopLayer,26.59,227.282,90
J4,TopLayer,64.69,195.532,90
D4,TopLayer,57.07,236.172,90
J8,TopLayer,115.49,195.532,90
J6,TopLayer,90.09,195.532,90
J1,TopLayer,25.32,198.072,90
J2,TopLayer,39.29,195.532,90
XF9,TopLayer,128.19,227.282,270
XF8,TopLayer,115.49,227.282,270
XF7,TopLayer,102.79,227.282,270
XF6,TopLayer,90.09,227.282,270
XF5,TopLayer,77.39,227.282,270
XF4,TopLayer,64.69,227.282,270
XF3,TopLayer,51.99,227.282,270
XF2,TopLayer,39.29,227.282,270
J9,TopLayer,128.19,195.532,90
J7,TopLayer,102.79,195.532,90
J5,TopLayer,77.39,195.532,90
J3,TopLayer,51.99,195.532,90
D10,TopLayer,133.27,236.172,90
D9,TopLayer,120.57,236.172,90
D8,TopLayer,107.87,236.172,90
D7,TopLayer,95.17,236.172,90
D6,TopLayer,82.47,236.172,90
D5,TopLayer,69.77,236.172,90
D3,TopLayer,44.37,236.172,90
C8,TopLayer,172.72,26.67,180
C7,TopLayer,172.72,39.37,180
C6,TopLayer,172.72,52.07,180
C5,TopLayer,172.72,64.77,180
C4,TopLayer,172.72,77.47,180
C3,TopLayer,172.72,90.17,180
C2,TopLayer,172.72,102.87,180
C1,TopLayer,172.72,115.57,180
U10,TopLayer,193.04,21.59,360
U9,TopLayer,193.04,34.29,360
U8,TopLayer,193.04,46.99,360
U7,TopLayer,193.04,59.69,360
U6,TopLayer,193.04,72.39,360
U5,TopLayer,193.04,85.09,360
U4,TopLayer,193.04,97.79,360
U3,TopLayer,193.04,110.49,360
U2,TopLayer,193.04,123.19,360
U1,TopLayer,193.04,133.35,360
D2,TopLayer,198.12,123.19,360
D1,TopLayer,198.12,133.35,360
XF1,TopLayer,189.23,128.27,360
J4,TopLayer,157.48,90.17,360
D4,TopLayer,198.12,97.79,360
J8,TopLayer,157.48,39.37,360
J6,TopLayer,157.48,64.77,360
J1,TopLayer,160.02,129.54,360
J2,TopLayer,157.48,115.57,360
XF9,TopLayer,189.23,26.67,180
XF8,TopLayer,189.23,39.37,180
XF7,TopLayer,189.23,52.07,180
XF6,TopLayer,189.23,64.77,180
XF5,TopLayer,189.23,77.47,180
XF4,TopLayer,189.23,90.17,180
XF3,TopLayer,189.23,102.87,180
XF2,TopLayer,189.23,115.57,180
J9,TopLayer,157.48,26.67,360
J7,TopLayer,157.48,52.07,360
J5,TopLayer,157.48,77.47,360
J3,TopLayer,157.48,102.87,360
D10,TopLayer,198.12,21.59,360
D9,TopLayer,198.12,34.29,360
D8,TopLayer,198.12,46.99,360
D7,TopLayer,198.12,59.69,360
D6,TopLayer,198.12,72.39,360
D5,TopLayer,198.12,85.09,360
D3,TopLayer,198.12,110.49,360
