Altium Designer Pick and Place Locations
C:\Users\Ryan\Google Drive (rvtran@ucsd.edu)\ECE 191\XT60-30 Fuse Board V1.1\Project Outputs for XT60-30 Fuse Board\Pick Place for fuse_board.csv

========================================================================================================================
File Design Information:

Date:       01/01/22
Time:       12:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C8","TopLayer","118.1100","24.1300","270"
"C7","TopLayer","105.4100","24.1300","270"
"C6","TopLayer","92.7100","24.1300","270"
"C5","TopLayer","80.0100","24.1300","270"
"C4","TopLayer","67.3100","24.1300","270"
"C3","TopLayer","54.6100","24.1300","270"
"C2","TopLayer","41.9100","24.1300","270"
"C1","TopLayer","29.2100","24.1300","270"
"U10","TopLayer","123.1900","45.7200","90"
"U9","TopLayer","110.4900","45.7200","90"
"U8","TopLayer","97.7900","45.7200","90"
"U7","TopLayer","85.0900","45.7200","90"
"U6","TopLayer","72.3900","45.7200","90"
"U5","TopLayer","59.6900","45.7200","90"
"U4","TopLayer","46.9900","45.7200","90"
"U3","TopLayer","34.2900","45.7200","90"
"U2","TopLayer","21.5900","45.7200","90"
"U1","TopLayer","11.4300","45.7200","90"
"D2","TopLayer","21.5900","50.8000","90"
"D1","TopLayer","11.4300","50.8000","90"
"XF1","TopLayer","16.5100","41.9100","90"
"J4","TopLayer","54.6100","10.1600","90"
"D4","TopLayer","46.9900","50.8000","90"
"J8","TopLayer","105.4100","10.1600","90"
"J6","TopLayer","80.0100","10.1600","90"
"J1","TopLayer","16.5100","12.7000","90"
"J2","TopLayer","29.2100","10.1600","90"
"XF9","TopLayer","118.1100","41.9100","270"
"XF8","TopLayer","105.4100","41.9100","270"
"XF7","TopLayer","92.7100","41.9100","270"
"XF6","TopLayer","80.0100","41.9100","270"
"XF5","TopLayer","67.3100","41.9100","270"
"XF4","TopLayer","54.6100","41.9100","270"
"XF3","TopLayer","41.9100","41.9100","270"
"XF2","TopLayer","29.2100","41.9100","270"
"J9","TopLayer","118.1100","10.1600","90"
"J7","TopLayer","92.7100","10.1600","90"
"J5","TopLayer","67.3100","10.1600","90"
"J3","TopLayer","41.9100","10.1600","90"
"D10","TopLayer","123.1900","50.8000","90"
"D9","TopLayer","110.4900","50.8000","90"
"D8","TopLayer","97.7900","50.8000","90"
"D7","TopLayer","85.0900","50.8000","90"
"D6","TopLayer","72.3900","50.8000","90"
"D5","TopLayer","59.6900","50.8000","90"
"D3","TopLayer","34.2900","50.8000","90"
