Altium Designer Pick and Place Locations
C:\Users\Ryan\Google Drive (rvtran@ucsd.edu)\ECE 191\XT60-30 Fuse Board\Project Outputs for XT60-30 Fuse Board\Pick Place for panel_qty6.csv

========================================================================================================================
File Design Information:

Date:       19/11/21
Time:       13:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R6","TopLayer","182.8800","134.6200","180"
"R2","TopLayer","177.8000","121.9200","180"
"R1","TopLayer","177.8000","134.6200","180"
"D2","TopLayer","187.9600","123.1900","360"
"D1","TopLayer","187.9600","133.3500","360"
"XF1","TopLayer","179.0700","128.2700","360"
"R4","TopLayer","177.8000","96.5200","180"
"J4","TopLayer","158.7500","90.1700","360"
"D4","TopLayer","187.9600","97.7900","360"
"J8","TopLayer","158.7500","39.3700","360"
"J6","TopLayer","158.7500","64.7700","360"
"J1","TopLayer","158.7500","128.2700","360"
"J2","TopLayer","158.7500","115.5700","360"
"XF9","TopLayer","179.0700","26.6700","180"
"XF8","TopLayer","179.0700","39.3700","180"
"XF7","TopLayer","179.0700","52.0700","180"
"XF6","TopLayer","179.0700","64.7700","180"
"XF5","TopLayer","179.0700","77.4700","180"
"XF4","TopLayer","179.0700","90.1700","180"
"XF3","TopLayer","179.0700","102.8700","180"
"XF2","TopLayer","179.0700","115.5700","180"
"R20","TopLayer","182.8800","20.3200","180"
"R19","TopLayer","182.8800","33.0200","180"
"R18","TopLayer","177.8000","20.3200","180"
"R17","TopLayer","177.8000","33.0200","180"
"R16","TopLayer","182.8800","45.7200","180"
"R15","TopLayer","182.8800","58.4200","180"
"R14","TopLayer","182.8800","71.1200","180"
"R13","TopLayer","177.8000","45.7200","180"
"R12","TopLayer","177.8000","58.4200","180"
"R11","TopLayer","177.8000","71.1200","180"
"R8","TopLayer","182.8800","109.2200","180"
"R7","TopLayer","182.8800","121.9200","180"
"R10","TopLayer","182.8800","83.8200","180"
"R9","TopLayer","182.8800","96.5200","180"
"R5","TopLayer","177.8000","83.8200","180"
"R3","TopLayer","177.8000","109.2200","180"
"J9","TopLayer","158.7500","26.6700","360"
"J7","TopLayer","158.7500","52.0700","360"
"J5","TopLayer","158.7500","77.4700","360"
"J3","TopLayer","158.7500","102.8700","360"
"D10","TopLayer","187.9600","21.5900","360"
"D9","TopLayer","187.9600","34.2900","360"
"D8","TopLayer","187.9600","46.9900","360"
"D7","TopLayer","187.9600","59.6900","360"
"D6","TopLayer","187.9600","72.3900","360"
"D5","TopLayer","187.9600","85.0900","360"
"D3","TopLayer","187.9600","110.4900","360"
"R6","TopLayer","230.8860","134.6200","180"
"R2","TopLayer","225.8060","121.9200","180"
"R1","TopLayer","225.8060","134.6200","180"
"D2","TopLayer","235.9660","123.1900","360"
"D1","TopLayer","235.9660","133.3500","360"
"XF1","TopLayer","227.0760","128.2700","360"
"R4","TopLayer","225.8060","96.5200","180"
"J4","TopLayer","206.7560","90.1700","360"
"D4","TopLayer","235.9660","97.7900","360"
"J8","TopLayer","206.7560","39.3700","360"
"J6","TopLayer","206.7560","64.7700","360"
"J1","TopLayer","206.7560","128.2700","360"
"J2","TopLayer","206.7560","115.5700","360"
"XF9","TopLayer","227.0760","26.6700","180"
"XF8","TopLayer","227.0760","39.3700","180"
"XF7","TopLayer","227.0760","52.0700","180"
